##### Intel Schematic Connectivity Format DG-2012.100
BEGIN_COMPPROPS
###### RefDes:partName,partNumber,noMount,tolerance,value,maxV[voltage],powerDiss[wattage],maxP[wattage],elec_type,enetNonSeries,componentKind,power_supply,compComment
R143:A5E00152671,,,,1K,,,,,,118,,
R144:A5E00152671,,,,1K,,,,,,118,,
R145:A5E00152671,,,,1K,,,,,,118,,
R146:A5E00313373,,,,120R,,,,,,118,,
R147:A5E00313373,,,,120R,,,,,,118,,
R148:A5E00152671,,,,1K,,,,,,118,,
R149:A5E34915683,,,,0R,,,,,,118,,
R150:A5E00152671,,,,1K,,,,,,118,,
R151:A5E00152671,,,,1K,,,,,,118,,
R152:A5E00152671,,,,1K,,,,,,118,,
R153:A5E00152671,,,,1K,,,,,,118,,
R154:A5E00152671,,,,1K,,,,,,118,,
R155:A5E34915683,,,,0R,,,,,,118,,
R156:A5E00152738,,,,10K,,,,,,118,,
R157:A5E00309271,,,,4K7,,,,,,118,,
R158:A5E00309271,,,,4K7,,,,,,118,,
R159:A5E00152671,,,,1K,,,,,,118,,
R160:A5E00152671,,,,1K,,,,,,118,,
R161:A5E00143506,,,,3K3,,,,,,118,,
R162:A5E00143506,,,,3K3,,,,,,118,,
R163:A5E00143506,,,,3K3,,,,,,118,,
R164:A5E34915683,,,,0R,,,,,,118,,
R165:A5E34915683,,,,0R,,,,,,118,,
R166:A5E34915683,,,,0R,,,,,,118,,
R167:A5E34915683,,,,0R,,,,,,118,,
R168:A5E34915683,,,,0R,,,,,,118,,
R169:A5E34915683,,,,0R,,,,,,118,,
R170:A5E34915683,,,,0R,,,,,,118,,
R171:A5E34915683,,,,0R,,,,,,118,,
R172:A5E34915683,,,,0R,,,,,,118,,
R173:A5E00152671,,,,1K,,,,,,118,,
R174:A5E00369496,,,,6K8,,,,,,118,,
R175:A5E00309271,,,,4K7,,,,,,118,,
R176:A5E00143506,,,,3K3,,,,,,118,,
R177:A5E00143506,,,,3K3,,,,,,118,,
R178:A5E00152738,,,,10K,,,,,,118,,
R179:A5E00152738,,,,10K,,,,,,118,,
R180:A5E00152738,,,,10K,,,,,,118,,
